date,Ke Jie
2018-01-07,39
2018-01-14,30
2018-01-21,38
2018-01-28,34
2018-02-04,30
2018-02-11,34
2018-02-18,25
2018-02-25,25
2018-03-04,25
2018-03-11,42
2018-03-18,25
2018-03-25,44
2018-04-01,35
2018-04-08,38
2018-04-15,42
2018-04-22,38
2018-04-29,26
2018-05-06,60
2018-05-13,43
2018-05-20,61
2018-05-27,30
2018-06-03,26
2018-06-10,25
2018-06-17,21
2018-06-24,21
2018-07-01,46
2018-07-08,51
2018-07-15,26
2018-07-22,53
2018-07-29,34
2018-08-05,25
2018-08-12,17
2018-08-19,21
2018-08-26,42
2018-09-02,46
2018-09-09,46
2018-09-16,25
2018-09-23,45
2018-09-30,100
2018-10-07,59
2018-10-14,43
2018-10-21,17
2018-10-28,25
2018-11-04,45
2018-11-11,38
2018-11-18,21
2018-11-25,33
2018-12-02,34
2018-12-09,21
2018-12-16,34
2018-12-23,38
2018-12-30,32
2019-01-06,38
2019-01-13,37
2019-01-20,40
2019-01-27,4
2019-02-03,45
2019-02-10,32
2019-02-17,20
2019-02-24,12
2019-03-03,21
2019-03-10,33
2019-03-17,41
2019-03-24,33
2019-03-31,29
2019-04-07,21
2019-04-14,17
2019-04-21,21
2019-04-28,37
2019-05-05,37
2019-05-12,35
2019-05-19,17
2019-05-26,22
2019-06-02,26
2019-06-09,13
2019-06-16,22
2019-06-23,17
2019-06-30,26
2019-07-07,39
2019-07-14,18
2019-07-21,27
2019-07-28,27
2019-08-04,32
2019-08-11,40
2019-08-18,13
2019-08-25,21
2019-09-01,30
2019-09-08,8
2019-09-15,4
2019-09-22,16
2019-09-29,8
2019-10-06,21
2019-10-13,21
2019-10-20,16
2019-10-27,8
2019-11-03,8
2019-11-10,16
2019-11-17,12
2019-11-24,28
2019-12-01,16
2019-12-08,20
2019-12-15,25
2019-12-22,27
2019-12-29,22
2020-01-05,16
2020-01-12,23
2020-01-19,39
2020-01-26,27
2020-02-02,12
2020-02-09,23
2020-02-16,12
2020-02-23,34
2020-03-01,26
2020-03-08,25
2020-03-15,26
2020-03-22,25
2020-03-29,10
2020-04-05,25
2020-04-12,21
2020-04-19,35
2020-04-26,24
2020-05-03,35
2020-05-10,42
2020-05-17,29
2020-05-24,33
2020-05-31,28
2020-06-07,28
2020-06-14,11
2020-06-21,26
2020-06-28,22
2020-07-05,23
2020-07-12,12
2020-07-19,19
2020-07-26,23
2020-08-02,27
2020-08-09,34
2020-08-16,19
2020-08-23,15
2020-08-30,33
2020-09-06,19
2020-09-13,14
2020-09-20,21
2020-09-27,25
2020-10-04,21
2020-10-11,33
2020-10-18,19
2020-10-25,29
2020-11-01,34
2020-11-08,29
2020-11-15,11
2020-11-22,22
2020-11-29,36
2020-12-06,26
2020-12-13,30
2020-12-20,24
2020-12-27,32
2021-01-03,47
2021-01-10,29
2021-01-17,29
2021-01-24,18
2021-01-31,33
2021-02-07,18
2021-02-14,37
2021-02-21,36
2021-02-28,11
2021-03-07,26
2021-03-14,14
2021-03-21,22
2021-03-28,26
2021-04-04,18
2021-04-11,7
2021-04-18,11
2021-04-25,33
2021-05-02,40
2021-05-09,7
2021-05-16,26
2021-05-23,22
2021-05-30,15
2021-06-06,11
2021-06-13,7
2021-06-20,19
2021-06-27,7
2021-07-04,0
2021-07-11,8
2021-07-18,8
2021-07-25,23
2021-08-01,19
2021-08-08,15
2021-08-15,27
2021-08-22,20
2021-08-29,24
2021-09-05,8
2021-09-12,36
2021-09-19,32
2021-09-26,12
2021-10-03,20
2021-10-10,25
2021-10-17,16
2021-10-24,16
2021-10-31,12
2021-11-07,12
2021-11-14,20
2021-11-21,24
2021-11-28,8
2021-12-05,16
2021-12-12,21
2021-12-19,22
2021-12-26,4
